Site_Code,Block_Code,Treatment_Code,Vial_Code,Feeding_Guild,Order,Sub_Order,Family,Sp_Code,Number,Stage,size
Ditch,B40,Control,3,Herbivore,Coleoptera,NA,Curculionidae,Coleoptera NA Curculionidae,1,adult,4.5
Ditch,B40,Control,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Ditch,B36,Control,3,Parasitoid,Hymenoptera,NA,Platygastridae,Hymenoptera NA Platygastridae,1,pupa,1.5
Ditch,B40,Control,2,Parasitoid,Hymenoptera,NA,Platygastridae,Hymenoptera NA Platygastridae,1,pupa,1.5
Campus,B21,Control,3,Herbivore,Diptera,NA,Tephritidae,Diptera NA Tephritidae,1,adult,2.5
Campus,B6,Predator Model,2,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,2,larvae,1
Ditch,B42,Control,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,11,larvae,1
Campus,B11,Predator Exclusion,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,4,larvae,1
Ditch,B38,Predator Model,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,2,larvae,1
Campus,B2,Predator Model,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Campus,B11,Control,2,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Campus,B9,Control,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Construction,B16,Predator Exclusion,2,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
rapseed,B30,Predator Exclusion,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
rapseed,B28,Predator Model,3,Parasitoid,Hymenoptera,NA,Platygastridae,Hymenoptera NA Platygastridae,1,pupa,1.5
rapseed,B26,Predator Exclusion,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Ditch,B48,Predator Exclusion,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
rapseed,B31,Control,2,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Campus,B4,Predator Model,3,Herbivore,Hymenoptera,NA,Platygastridae,Hymenoptera NA Platygastridae,1,pupa,2.5
Construction,B35,Predator Model,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,adult,1.5
Construction,B35,Predator Model,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1.5
Campus,B1,Predator Model,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Ditch,B40,Predator Exclusion,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,17,larvae,1
Campus,B3,Predator Model,2,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Construction,B20,Predator Model,2,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,1,larvae,1
Campus,B21,Predator Exclusion,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,7,larvae,1
Campus,B12,Predator Model,2,Herbivore,Diptera,NA,Tephritidae,Diptera NA Tephritidae,1,larvae,1.5
rapseed,B30,Control,3,Herbivore,Diptera,NA,Cecidomyiidae,Diptera NA Cecidomyiidae,6,larvae,1
