Start,End,Site_Code,Block_Code,Treatment_Code,Number_openFlowerhead,Remarks,Instance_ID,Instance_Name,Key
2/7/2022 7:30,2/7/2022 7:42,ditch,b42,Control,7,Not sure if both the beetles are pollinators,uuid:7dc5638d-ae9f-4702-8a64-7feebd821ec2,7/2/2022,uuid:7dc5638d-ae9f-4702-8a64-7feebd821ec2
2/7/2022 7:42,2/7/2022 7:58,ditch,b42,Exclude predators,4, ,uuid:635634a4-3850-4e15-a693-abb6770eae97,7/2/2022,uuid:635634a4-3850-4e15-a693-abb6770eae97
2/7/2022 7:58,2/7/2022 8:07,ditch,b42,Predator model,4,"Out of 4, 3 flowerheads are old almost dry but pollinator visited one of the dried flowerhead",uuid:beaa662a-eb34-4859-8148-9c6ac2884442,7/2/2022,uuid:beaa662a-eb34-4859-8148-9c6ac2884442
2/7/2022 8:12,2/7/2022 8:30,ditch,b46,Predator model,4,"Couldn't capture video, visit duration very short",uuid:42bfbf2d-b399-4074-98e6-f79bb1485a02,7/2/2022,uuid:42bfbf2d-b399-4074-98e6-f79bb1485a02
2/7/2022 8:31,2/7/2022 8:32,ditch,b46,Control,1,"Observed together with mod, close by, no visits, started 813 finished 832",uuid:fd021a2f-e9ea-4955-bfe7-97c74cde7a14,7/2/2022,uuid:fd021a2f-e9ea-4955-bfe7-97c74cde7a14
2/7/2022 8:34,2/7/2022 8:45,ditch,b46,Exclude predators,0,"No visitors, no flowerheads, only buds. Ladybirds are present, many aphids",uuid:e5da18c1-5fa2-4b57-85ce-4b5f8d5fd9a3,7/2/2022,uuid:e5da18c1-5fa2-4b57-85ce-4b5f8d5fd9a3
2/7/2022 8:47,2/7/2022 9:01,ditch,b37,Exclude predators,2,"Picture of fly is also in camera, honey bee visit was very short, it quickly flew away",uuid:49d79ee7-6c7e-4a88-9c5c-c0045a8a82e3,7/2/2022,uuid:49d79ee7-6c7e-4a88-9c5c-c0045a8a82e3
2/7/2022 9:01,2/7/2022 9:17,ditch,b37,Predator model,9, ,uuid:f3b588af-c168-49e7-91fa-90c169919af1,7/2/2022,uuid:f3b588af-c168-49e7-91fa-90c169919af1
2/7/2022 9:25,2/7/2022 9:35,ditch,b37,Control,5, ,uuid:d2aaef57-bdba-46bb-b8d2-f216e5a32ade,7/2/2022,uuid:d2aaef57-bdba-46bb-b8d2-f216e5a32ade
2/7/2022 9:44,2/7/2022 9:58,ditch,b47,Exclude predators,4,One flowerhead mature,uuid:b74edf6a-e1d4-49fe-9eeb-3681bb37dbab,7/2/2022,uuid:b74edf6a-e1d4-49fe-9eeb-3681bb37dbab
2/7/2022 9:58,2/7/2022 10:11,ditch,b45,Predator model,3,One flowerhead mature,uuid:d9ecb1c5-b512-4f3e-864b-25b432595198,7/2/2022,uuid:d9ecb1c5-b512-4f3e-864b-25b432595198
2/7/2022 10:20,2/7/2022 10:41,ditch,b45,Exclude predators,1,Videos in camera,uuid:300788d2-8368-4152-9224-f4d362e4e480,7/2/2022,uuid:300788d2-8368-4152-9224-f4d362e4e480
2/7/2022 10:42,2/7/2022 10:54,ditch,b47,Predator model,4, ,uuid:83fe480a-69cf-4501-b0b5-2fc8ff6fdc21,7/2/2022,uuid:83fe480a-69cf-4501-b0b5-2fc8ff6fdc21
2/7/2022 10:54,2/7/2022 11:01,ditch,b47,Control,2,"Observed together with mod, some pictures in camera, yellow black fly with orange butt is also sitting on the buds",uuid:d423b41f-5d08-4b72-a61c-f7ef2aa4cd46,7/2/2022,uuid:d423b41f-5d08-4b72-a61c-f7ef2aa4cd46
2/7/2022 11:02,2/7/2022 11:15,ditch,b45,Control,1,"No visitors, short height plant, full of anys and only one flowerhead, one mature flower",uuid:d27e6f05-4fa2-4af0-95d4-1a313cca5c20,7/2/2022,uuid:d27e6f05-4fa2-4af0-95d4-1a313cca5c20
3/7/2022 7:50,3/7/2022 8:04,campus,b2,Predator model,34,Many Flowerheads are already mature,uuid:d538de53-c183-4f7d-8db0-c40737d1a022,7/3/2022,uuid:d538de53-c183-4f7d-8db0-c40737d1a022
3/7/2022 8:05,3/7/2022 8:23,campus,b2,Control,20,Some photos of pollinators from near by plants in camera,uuid:569a09f6-b24f-41e8-9a07-65bfb9127a24,7/3/2022,uuid:569a09f6-b24f-41e8-9a07-65bfb9127a24
3/7/2022 8:05,3/7/2022 8:23,campus,b2,Control,20,Some photos of pollinators from near by plants in camera,uuid:569a09f6-b24f-41e8-9a07-65bfb9127a24,7/3/2022,uuid:569a09f6-b24f-41e8-9a07-65bfb9127a24
3/7/2022 8:05,3/7/2022 8:23,campus,b2,Control,20,Some photos of pollinators from near by plants in camera,uuid:569a09f6-b24f-41e8-9a07-65bfb9127a24,7/3/2022,uuid:569a09f6-b24f-41e8-9a07-65bfb9127a24
3/7/2022 8:24,3/7/2022 8:43,campus,b2,Exclude predators,16, ,uuid:39f184f8-9039-4bed-a027-ae41aee183e9,7/3/2022,uuid:39f184f8-9039-4bed-a027-ae41aee183e9
3/7/2022 8:46,3/7/2022 9:03,campus,b5,Predator model,8,"8 mature flowerheads, besides other",uuid:4a09f723-9dc0-4481-8547-7fcd55e5bff0,7/3/2022,uuid:4a09f723-9dc0-4481-8547-7fcd55e5bff0
3/7/2022 9:04,3/7/2022 9:05,campus,b5,Control,0,"Observed together with mod, no visitors, no flowerheads. Buds present, 2 mature flowerheads,  dried and wet due to rain",uuid:1d24e8db-8882-440d-9807-6ee3b3e1d0fb,7/3/2022,uuid:1d24e8db-8882-440d-9807-6ee3b3e1d0fb
3/7/2022 9:05,3/7/2022 10:27,campus,b5,Exclude predators,4,"7 flowerheads mature. This block is repeat of by, replace this with b49",uuid:24a997f8-6bfa-4774-ad6d-cea133b1db39,7/3/2022,uuid:24a997f8-6bfa-4774-ad6d-cea133b1db39
