Site_Code,Block_Code,Treatment_Code,Distance,geometry,
Site D,B17,Predator Model,23.99606202,c(14.413738, 48.9774852)
Site D,B17,Predator Exclusion,23.99606202,c(14.413738, 48.9774852)
Site D,B17,Pollinator Exclusion,23.99606202,c(14.413738, 48.9774852)
Site D,B17,Control,23.99606202,c(14.413738, 48.9774852)
Site D,B26,Predator Model,34.10600249,c(14.4137108, 48.977396)
Site D,B26,Predator Exclusion,34.10600249,c(14.4137108, 48.977396)
Site D,B26,Pollinator Exclusion,34.10600249,c(14.4137108, 48.977396)
Site D,B26,Control,34.10600249,c(14.4137108, 48.977396)
Site D,B27,Predator Exclusion,35.56931997,c(14.4136942, 48.9773851)
Site D,B27,Pollinator Exclusion,35.56931997,c(14.4136942, 48.9773851)
Site D,B27,Control,35.56931997,c(14.4136942, 48.9773851)
Site D,B27,Predator Model,35.56931997,c(14.4136942, 48.9773851)
Site D,B22,Pollinator Exclusion,40.86388741,c(14.4136946, 48.9773361)
Site D,B22,Control,40.86388741,c(14.4136946, 48.9773361)
Site D,B22,Predator Model,40.86388741,c(14.4136946, 48.9773361)
Site D,B22,Predator Exclusion,40.86388741,c(14.4136946, 48.9773361)
Site D,B23,Predator Exclusion,40.86388741,c(14.4136946, 48.9773361)
Site D,B23,Predator Model,48.51034902,c(14.4136554, 48.9772715)
Site D,B23,Control,48.51034902,c(14.4136554, 48.9772715)
Site D,B23,Pollinator Exclusion,48.51034902,c(14.4136554, 48.9772715)
Site D,B25,Control,49.04745543,c(14.4136686, 48.9772645)
Site D,B25,Predator Model,49.04745543,c(14.4136686, 48.9772645)
Site D,B25,Predator Exclusion,49.04745543,c(14.4136686, 48.9772645)
Site D,B25,Pollinator Exclusion,49.04745543,c(14.4136686, 48.9772645)
Site A,B4,Predator Model,15.82924638,c(14.4446984, 48.9753966)
Site A,B4,Pollinator Exclusion,15.82924638,c(14.4446984, 48.9753966)
Site A,B4,Control,15.84994108,c(14.4446917, 48.9753942)
Site A,B4,Predator Exclusion,15.42836324,c(14.4446973, 48.975392)
Site A,B3,Control,14.46665926,c(14.4446992, 48.9753826)
Site A,B3,Predator Exclusion,14.3225494,c(14.4446979, 48.9753805)
Site A,B3,Predator Model,14.3225494,c(14.4446979, 48.9753805)
Site A,B3,Pollinator Exclusion,7.442098843,c(14.4447293, 48.9753171)
Site A,B21,Control,9.422325631,c(14.4447601, 48.9753522)
Site A,B21,Pollinator Exclusion,9.422325631,c(14.4447601, 48.9753522)
Site A,B21,Predator Model,9.422325631,c(14.4447601, 48.9753522)
Site A,B21,Predator Exclusion,9.422325631,c(14.4447601, 48.9753522)
Site A,B11,Pollinator Exclusion,9.529170992,c(14.4447554, 48.975352)
Site A,B11,Predator Exclusion,19.45391571,c(14.4446798, 48.9754271)
Site A,B11,Control,18.5864455,c(14.4446862, 48.9754205)
Site A,B11,Predator Model,18.55014193,c(14.4446864, 48.9754202)
Site A,B12,Predator Exclusion,18.55397735,c(14.4447142, 48.9754286)
Site A,B12,Predator Model,17.08076074,c(14.4447051, 48.9754116)
Site A,B12,Control,17.08076074,c(14.4447051, 48.9754116)
Site A,B12,Pollinator Exclusion,17.08076074,c(14.4447051, 48.9754116)
Site A,B9,Predator Exclusion,17.68335631,c(14.4448216, 48.9754317)
Site A,B9,Pollinator Exclusion,19.87819113,c(14.44477, 48.9754502)
Site A,B9,Control,19.87819113,c(14.44477, 48.9754502)
Site A,B9,Predator Model,19.87819113,c(14.44477, 48.9754502)
Site A,B5,Pollinator Exclusion,15.36087545,c(14.4448462, 48.9754086)
Site A,B5,Predator Model,15.36087545,c(14.4448462, 48.9754086)
Site A,B5,Control,15.36087545,c(14.4448462, 48.9754086)
Site A,B5,Predator Exclusion,15.36087545,c(14.4448462, 48.9754086)
Site A,B2,Predator Model,11.74088965,c(14.4448156, 48.9753784)
Site A,B2,Control,11.74088965,c(14.4448156, 48.9753784)
Site A,B2,Predator Exclusion,11.74088965,c(14.4448156, 48.9753784)
Site A,B2,Pollinator Exclusion,15.04757145,c(14.4448424, 48.9754062)
Site A,B13,Predator Model,15.20528811,c(14.444846, 48.9754072)
Site A,B13,Control,15.20528811,c(14.444846, 48.9754072)
Site A,B13,Pollinator Exclusion,16.39827905,c(14.4448578, 48.9754165)
Site A,B13,Predator Exclusion,18.01468108,c(14.4448619, 48.9754308)
Site A,B1,Control,18.01468108,c(14.4448619, 48.9754308)
Site A,B1,Pollinator Exclusion,18.01468108,c(14.4448619, 48.9754308)
Site A,B1,Predator Model,18.01468108,c(14.4448619, 48.9754308)
Site A,B1,Predator Exclusion,18.01468108,c(14.4448619, 48.9754308)
Site A,B6,Predator Model,22.91282437,c(14.4448433, 48.9754776)
Site A,B6,Predator Exclusion,22.91282437,c(14.4448433, 48.9754776)
Site A,B6,Pollinator Exclusion,22.91282437,c(14.4448433, 48.9754776)
Site A,B6,Control,22.91282437,c(14.4448433, 48.9754776)
Site A,B8,Pollinator Exclusion,23.7410862,c(14.4448516, 48.9754844)
Site A,B8,Control,23.7410862,c(14.4448516, 48.9754844)
Site A,B8,Predator Exclusion,23.7410862,c(14.4448516, 48.9754844)
Site A,B8,Predator Model,23.7410862,c(14.4448516, 48.9754844)
Site D,B31,Predator Exclusion,32.6039862,c(14.41371, 48.97741)
Site D,B31,Control,32.6039862,c(14.41371, 48.97741)
Site D,B31,Pollinator Exclusion,32.6039862,c(14.41371, 48.97741)
Site D,B31,Predator Model,32.6039862,c(14.41371, 48.97741)
Site D,B32,Pollinator Exclusion,32.6039862,c(14.41371, 48.97741)
Site D,B32,Predator Exclusion,32.6039862,c(14.41371, 48.97741)
Site D,B32,Control,32.6039862,c(14.41371, 48.97741)
Site D,B32,Predator Model,32.6039862,c(14.41371, 48.97741)
Site D,B33,Predator Model,46.61629635,c(14.41365, 48.97729)
Site D,B33,Control,46.61629635,c(14.41365, 48.97729)
Site D,B33,Predator Exclusion,46.61629635,c(14.41365, 48.97729)
Site D,B33,Pollinator Exclusion,46.61629635,c(14.41365, 48.97729)
Site B,B16,Pollinator Exclusion,26.66661557,c(14.4309215, 48.9926042)
Site B,B16,Predator Exclusion,28.07907204,c(14.4309018, 48.9926224)
Site B,B16,Control,28.07907204,c(14.4309018, 48.9926224)
Site B,B16,Predator Model,28.07907204,c(14.4309018, 48.9926224)
Site B,B35,Pollinator Exclusion,28.76642936,c(14.4309088, 48.9926274)
Site B,B35,Control,28.76642936,c(14.4309088, 48.9926274)
Site B,B35,Predator Exclusion,28.76642936,c(14.4309088, 48.9926274)
Site B,B35,Predator Model,28.76642936,c(14.4309088, 48.9926274)
Site B,B10,Predator Exclusion,28.64833641,c(14.4308936, 48.9926294)
Site B,B10,Control,28.64833641,c(14.4308936, 48.9926294)
Site B,B10,Predator Model,28.64833641,c(14.4308936, 48.9926294)
Site B,B10,Pollinator Exclusion,28.64833641,c(14.4308936, 48.9926294)
Site B,B19,Predator Exclusion,29.43468934,c(14.4308878, 48.9926378)
Site B,B19,Predator Model,29.43468934,c(14.4308878, 48.9926378)
Site B,B19,Control,29.43468934,c(14.4308878, 48.9926378)
Site B,B19,Pollinator Exclusion,29.43468934,c(14.4308878, 48.9926378)
Site B,B39,Pollinator Exclusion,29.49984149,c(14.4308861, 48.9926387)
Site B,B39,Predator Model,29.49984149,c(14.4308861, 48.9926387)
Site B,B39,Predator Exclusion,29.49984149,c(14.4308861, 48.9926387)
Site B,B39,Control,29.49984149,c(14.4308861, 48.9926387)
Site B,B34,Control,34.30480912,c(14.4307802, 48.9926905)
Site B,B34,Predator Model,34.30480912,c(14.4307802, 48.9926905)
Site B,B34,Predator Exclusion,34.30480912,c(14.4307802, 48.9926905)
Site B,B34,Pollinator Exclusion,34.30480912,c(14.4307802, 48.9926905)
Site B,B7,Predator Exclusion,37.48418524,c(14.4308781, 48.9927134)
